017061*,Foliateam
017935*,IP Directions
017936*,IP Directions
018656*,Manifone
018949*,Comunik CRM
045109*,Oxilog
022190*,Phone.GS
022164*,Manifone S30
022165*,Alphalink
022179*,VastNewTelecom
025285*,Yooth information technology
025288*,Voxbone
025504*,Get and Go Telecom
025502*,TCLR
025545*,manifone
025559*,alphalink
025560*,TCLR
025835*,Oxilog
037428*,Alphalink
037933*,manifone
042330*,Vast new telecom
046541*,TCLR
046563*,Manifone
048109*,Alphalink
048793*,manifone
053294*,manifone
055465*,manifone
097018*,TCLR
097071*,OpenIP
097073*,Voxbone
097107*,BICS
097108*,BICS
09730*,Legos
097342*,Comunik CRM
097413*,Alphalink
097436*,Alphalink
097459*,BICS
097729*,Phone.GS
097831*,Openip
098540*,Kav El International
098829*,manifone







